Rank,Country,Year,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Population mid-2018 (millions),"Births per 1,000 Population","Deaths per 1,000 Population",GNI per Capita PPP 2017,Infant Mortality Rate,Number of Records,Percent Urban,Total Fertility Rate
102nd,Armenia,1/1/2017,71,5.5,7.4,6.1,6.3,4.5,6.2,7.6,3.6,7,3.1,7,6.7,3,13,9,"10,060",8,1,64,1.6
103rd,Namibia,1/1/2017,70.4,5.5,3.5,5.8,6.8,8.2,7.1,3.3,7.4,3.8,7.6,5,6.4,2.5,28,8,"10,320",36,1,48,3.4
104th,Peru,1/1/2017,70.3,7.1,6.9,7.4,3.2,7.4,7.3,7.2,6.7,4.3,5,4.3,3.5,32.2,19,6,"12,890",16,1,78,2.4
105th,Vietnam,1/1/2017,70.2,4.6,6.9,6,5.1,5,6.2,8.3,4.7,7.4,6.1,4.7,5.2,94.7,16,7,"6,450",15,1,35,2.1
106th,Cape Verde,1/1/2017,70.1,5.4,5.5,4.1,5.2,7.1,8,5.3,6,4,7.2,4.2,8.1,0.6,19,5,"6,570",21,1,66,2.2
107th,Serbia,1/1/2017,70,5.5,8,7.3,6.4,4.8,5.3,5.2,4.2,4.4,4.3,8.4,6.2,7,9,14,"14,040",5.4,1,60,1.5
108th,Ghana,1/1/2017,69.7,3.8,5.2,4.4,6.1,6.6,8.2,4.2,7.8,5.1,6.6,5,6.7,29.5,30,8,"4,490",37,1,56,3.9
109th,Dominican Republic,1/1/2017,69,5.8,6.2,5.8,5.5,5.8,7.1,5.5,6.3,5.8,6.5,3.3,5.4,10.8,20,6,"15,290",31,1,80,2.5
110th,Brazil,1/1/2017,68.2,6.7,4.9,6.2,4.8,7.8,4.6,6.2,6.4,6.4,8.1,2.8,3.3,209.4,14,6,"15,160",11,1,86,1.7
111th,Samoa,1/1/2017,67.1,4.7,5.1,4.5,6.3,4.9,9.5,5.5,4.9,4.1,5.7,2.7,9.2,0.2,25,4,"6,390",14,1,19,3.8
112th,Macedonia,1/1/2017,66.1,5.6,7.3,6.9,5.8,5.2,5.2,5.8,3.9,3.8,3.3,7.3,6,2.1,11,10,"14,590",9,1,58,1.4
113th,Suriname,1/1/2017,65.9,4.9,5.8,5.8,7.1,6.1,6.8,5,5.6,4.6,5.3,3,5.9,0.6,18,7,"14,290",16,1,66,2.4
113th,Kazakhstan,1/1/2017,65.9,5.2,7.6,7.6,6.4,4.2,3.6,8.3,4,7.3,4.5,3,4.2,18.4,23,7,"23,440",9,1,57,3
115th,Belize,1/1/2017,65.5,6.4,4.3,4.1,6.7,5.4,6.6,5.2,5.9,4.7,5.1,3.6,7.5,0.4,23,5,"7,890",9,1,45,2.6
116th,Malaysia,1/1/2017,65.4,6.3,6.8,6.5,3.1,5,5,7.7,4.2,8,5.3,3.7,3.8,32.5,16,5,"28,650",7,1,75,1.9
117th,Jamaica,1/1/2017,65.2,6.9,3.7,3.4,6.9,5.1,8.4,4.8,6.4,5.5,5.2,3.1,5.8,2.9,17,7,"8,690",14,1,56,2
118th,Bahrain,1/1/2017,64.9,6.9,7.6,8.4,3.8,4.6,3.5,8.2,1.8,8.8,4.1,2.4,4.8,1.5,14,2,"42,930",6,1,89,1.9
119th,Cuba,1/1/2017,64.6,5.2,7,4,4,5.4,5.2,7.6,4.1,7.5,5.5,4,5.1,11.1,10,9,---,4.3,1,77,1.6
120th,Botswana,1/1/2017,63.8,4.1,3.3,4.9,5.8,7.8,5.5,3.3,7.3,5,8.2,4.5,4.1,2.2,22,10,"16,990",31,1,70,2.6
121st,Cyprus,1/1/2017,62.6,4.4,7.9,6.3,6,5.9,4,4.8,2.5,3,3.5,5.3,9,1.2,11,6,"33,609",3,1,68,1.4
122nd,Brunei Darussalam,1/1/2017,61.6,5.1,7.4,5.9,3.5,7.8,4.6,8.3,1.8,7.7,3.7,2.2,3.6,,,,,,1,,
123rd,Grenada,1/1/2017,61.5,5.7,5.6,3.8,6,4.8,8.4,5.4,3.8,3.2,4.7,3,7.1,0.1,16,9,"14,410",19,1,36,2.1
124th,Albania,1/1/2017,60.5,4.7,6.2,4.5,5.4,3.6,7.6,5.7,4,4.8,3.7,3.6,6.7,2.9,11,8,"12,120",8,1,60,1.6
125th,Seychelles,1/1/2017,59.4,6.1,6,4.5,4.1,5.5,5.9,5.5,2.7,3.8,5.1,3.2,7,0.1,17,8,"26,860",13.4,1,57,2.4
126th,Kuwait,1/1/2017,58.5,4.2,7.8,4.7,3,4.2,3.6,7.2,2.6,7.9,5,3.5,4.8,4.2,14,2,"83,310",8,1,100,1.5
127th,Greece,1/1/2017,57.5,4.5,4.1,5.4,6.5,3.7,3.3,6.7,3.8,3.2,3.7,6.5,6.1,10.6,9,11,"27,820",4.2,1,79,1.3
128th,Trinidad and Tobago,1/1/2017,56.7,6.3,5.6,4.2,4.4,4.9,8.1,4.5,4.3,4.1,4.5,2.7,3.1,1.4,13,8,"30,520",13,1,53,1.6
128th,Mongolia,1/1/2017,56.7,3.6,5.5,3.8,5,6.4,3.3,4,5.4,4.5,5.1,3,7.1,3.2,24,6,"11,170",13,1,68,2.8
130th,Montenegro,1/1/2017,55.7,4,6.5,7.9,5.2,2.4,4,4.6,3.1,4.1,2.8,4.6,6.5,0.6,12,11,"19,150",2.3,1,67,1.8
131st,Antigua and Barbuda,1/1/2017,54.8,5.7,3.7,3.9,4.5,4.5,6.8,5.4,3.8,4.4,4.1,2.7,5.3,0.1,15,6,"22,980",8,1,25,1.9
132nd,Bulgaria,1/1/2017,53.7,4.3,5.3,5.1,5.7,4.4,4.2,4.5,4.4,3.3,3.7,4.5,4.3,7,9,16,"20,500",6.4,1,73,1.6
133rd,Oman,1/1/2017,52.5,4.2,6.6,2.9,4.1,4.6,2.5,6.8,3.5,7.7,4.8,2.5,2.3,4.7,20,2,"40,240",9,1,85,2.9
134th,Bahamas,1/1/2017,52.4,4.6,4.5,4.1,4.8,4.5,4.7,3.8,4.6,3.6,6.9,2.6,3.7,0.4,13,6,"29,790",8,1,83,1.6
135th,Hungary,1/1/2017,52,2.7,5.3,4.8,5.4,3.8,3.3,6.1,3.2,5.2,1.8,6.5,3.9,9.8,9,14,"27,220",3.6,1,71,1.5
136th,Romania,1/1/2017,50.9,3,5.4,6.8,4.7,4.2,4.5,5.2,3.8,3.7,3.2,2.8,3.6,19.5,10,13,"25,150",7.1,1,54,1.4
137th,Panama,1/1/2017,50.7,5.4,2.2,5.6,2.6,7.4,4.6,3.2,4.8,4.3,4.9,3,2.7,4.2,19,5,"21,890",14,1,69,2.4
138th,Croatia,1/1/2017,50.6,3.5,4.4,5.8,5.3,3.3,4.7,2.9,2.4,3.6,3.1,7,4.6,4.1,9,12,"24,700",4.3,1,57,1.4
139th,Barbados,1/1/2017,49.6,4.4,4.2,4.1,5.9,4.6,5.4,2.5,2.7,2.9,4.4,2.5,6,0.3,11,9,"17,830",9,1,31,1.6
140th,Argentina,1/1/2017,48.2,4.3,2.8,5,4.3,5.4,3,4.8,3.8,4.1,3.8,2.3,4.6,44.5,17,8,"20,270",10.1,1,92,2.3
141st,Latvia,1/1/2017,46.4,3,4.3,8,3.5,4.1,4.8,3.4,2.9,2.8,2.9,2.8,3.9,1.9,11,15,"27,400",4.1,1,68,1.7
142nd,Italy,1/1/2017,45.2,4.5,4.9,4.8,5.4,2.9,2,3.7,2.7,2,4.3,5.5,2.5,60.6,8,11,"40,030",2.9,1,70,1.3
143rd,Estonia,1/1/2017,44.7,3.3,5.9,7.3,3.5,3.2,4,2.7,2.9,1.7,2.8,3.1,4.3,1.3,10,12,"31,000",2.4,1,69,1.6
144th,Slovak Republic,1/1/2017,44.3,1.8,4.7,6.9,4.6,3.5,4.2,4.3,2.4,2.5,2.3,3.8,3.3,,,,,,1,,
145th,Costa Rica,1/1/2017,44.1,3.6,3.8,4.2,4,5.3,4.1,2.4,3.9,1.5,3.3,3.9,4.1,5,14,5,"16,100",8,1,73,1.7
146th,Qatar,1/1/2017,44,2.6,5,4.6,2.1,4.7,2.6,6.3,1.3,6.3,3.8,2,2.7,2.7,10,1,"128,060",6,1,100,1.9
147th,United Arab Emirates,1/1/2017,43.7,3.1,3.6,3.4,2.4,3.4,2.5,6.7,2.2,7.8,4,2.2,2.4,9.5,10,2,"74,410",6,1,87,1.8
